data,id_campagna,categoria_decisione,decisione,razionale,ipotesi_testata,outcome_atteso,outcome_reale,validata,lezione_appresa
2026-02-25,v1_feb_2502_1535,launch,Lancio campagna Lead Qualificati feb,Necessario testare lead gen via Meta per B2B,Modulo standard senza qualifica fa lead a basso CPL,3 lead in 3 giorni,3/3 lead qualificati (Antonio Bellei Vince Vita Piergiorgio Gabrielli),si,Quality alta possibile anche senza modulo lungo - probabilmente audience iniziale aveva fit alto pre-saturazione
2026-02-27,v2_feb_mar_2702,launch,Lancio Modulo senza titolo 27/02,Scalare quello che ha funzionato,Stesso modulo scala con piu budget mantenendo quality,Quality stabile o leggermente piu bassa,11 lead 0 qualificati,no,Audience scaling abbassa quality - probabili pensionati - serve filtro hard via modulo
2026-04-23,v6_apr_hormozi,launch,Lancio Hormozi Reel IG con setup Manual,Brief Niccolo Pratesi - testare angle Hormozi via reel IG,Manual targeting + Reel IG porta lead piu qualificati,Lead di qualita superiore vs Advantage+,4/4 pensionati €99 spesi €25 CPL,no,Reel IG su audience cold non filtra pensionati - serve modulo qualificante hard
2026-05-01,v5_apr_video_mar2026,settings_change,Cambio modulo a ADS 30 euro giorno + geo 10 citta + eta min 25,Ipotesi: città top business + età 25+ filtra pensionati,Geo + età riducono % pensionati a <30%,Quality migliora a 40%+,4/4 pensionati confermati - nessun miglioramento,no,Advantage+ Audience ignora età max - hard limits Etamax non disponibile - serve filtro al modulo
2026-05-02,v7_mag_v3_manual,launch,Duplica campagna in Manual mode,Tentativo di disattivare Advantage+ Audience via duplicazione,Manual mode evita problema pensionati,Campagna senza Advantage+ con Manual targeting,Duplicato eredita Advantage+ hardcoded - 0 lead in 3 giorni,no,Advantage+ leads campaign HARDCODED per objective Contatti - non disattivabile in account Telesales
2026-05-04,v7_mag_v3_manual,kill,Disattivazione v3 prima di andare live,Setup contaminato da Advantage+ - inutile farla partire,Stop campaign + ricreate v4 from scratch,Risparmio budget e creazione setup pulito,Campagna disattivata 0 spesa,si,Quando setup e compromesso e meglio killare e ricreare che cercare di sistemare
2026-05-04,v8_mag_v4_LIVE,launch,Lancio v4 con modulo Intenzione_elevata + 4 domande + Phone obbligatorio,Filtro killer via modulo (P.IVA + ruolo + fatturato + timing + phone obbligatorio + intenzione elevata),Quality rate >40% lead in target,CPL atteso €15-25,11 lead in 8 giorni CPL medio €16 - quality TBD,parziale,Modulo hard riduce volume ma probabilmente filtra meglio - quality reale verificabile solo dopo chiamate
2026-05-05,v5_apr_video_mar2026,kill,Spegnimento campagna v2,4/4 pensionati confermati e v4 va live - evitare doppia spesa,Stop campaign per concentrare budget su v4,Risparmio €20/giorno,Campagna spenta - budget riallocato,si,Pulire i campaign attivi quando ne hai uno nuovo che li sostituisce - mai doppio fuoco
2026-05-06,v8_mag_v4_LIVE,settings_change,Tentativo aggiungere domanda P.IVA al modulo v4 esistente,Modulo Meta non modificabile post-pubblicazione - serve duplicare,N/A,N/A,Modulo duplicato come v4b - swap nelle 5 ad,si_workaround,REGOLA: moduli Meta NON modificabili post-publish - duplicare e swappare nelle ad
2026-05-07,v8_mag_v4_LIVE,creative_rotation,Pausa 2 ad worst (AI voice + telesales) + aggiunto video nuovo (Leonardo),5 ad con €25 budget = sotto soglia learning. Concentrare su 3 ad,Budget per ad sale a €8/giorno - CPL scende a €10-13,Volume +50% CPL -30%,Confermato post 5gg - CPL €12-16,si,Regola Meta: max 3-5 ad per ad set - mai 8+ ad con budget piccolo
2026-05-09,v8_mag_v4_LIVE,creative_add,Aggiunta inserzione database,Test angle diverso,Database hook puo scalare,Lead potenziale a basso CPL,Zero lead dopo 377 impression - perso €11,no,Test creative con almeno 1000 impression prima di valutare - ma con €0/giorno spesa Meta lo sta gia escludendo
2026-05-11,v8_mag_v4_LIVE,kill,Pausa database (€11 sprecati 0 lead),Worst performer confermato da Meta bandit (€0.14/gg budget allocato),Recupero budget da reallocare a winner,Budget liberato va a cos_e_telesales,si_pending,Quando Meta non da budget a un ad per 3+ giorni e signal forte di kill
2026-05-11,v8_mag_v4_LIVE,analisi,Identificato Leonardo CPL €12.28 < cos_e_telesales €14.01 ma 0 budget oggi,Bandit Meta sceglie volume (cos_e_telesales) su efficienza (Leonardo),Leonardo bloccato in ad set condiviso,Verificato - 0 spesa Leonardo gli ultimi giorni,si,Per dare voce a ad efficiente ma piccola servirebbe ad set dedicato con budget separato - decisione pending
